datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/4/2004 7:00:00 PM,1/4/2004 2:00:00 PM,1/4/2004 8:00:00 PM,1/4/2004 3:00:00 PM,PJM-W,5488
1/4/2004 8:00:00 PM,1/4/2004 3:00:00 PM,1/4/2004 9:00:00 PM,1/4/2004 4:00:00 PM,PJM-E,28727
1/4/2004 8:00:00 PM,1/4/2004 3:00:00 PM,1/4/2004 9:00:00 PM,1/4/2004 4:00:00 PM,PJM-W,5572
1/4/2004 9:00:00 PM,1/4/2004 4:00:00 PM,1/4/2004 10:00:00 PM,1/4/2004 5:00:00 PM,PJM-E,30297
1/4/2004 9:00:00 PM,1/4/2004 4:00:00 PM,1/4/2004 10:00:00 PM,1/4/2004 5:00:00 PM,PJM-W,5765
1/4/2004 10:00:00 PM,1/4/2004 5:00:00 PM,1/4/2004 11:00:00 PM,1/4/2004 6:00:00 PM,PJM-E,32698
1/4/2004 10:00:00 PM,1/4/2004 5:00:00 PM,1/4/2004 11:00:00 PM,1/4/2004 6:00:00 PM,PJM-W,6084
1/4/2004 11:00:00 PM,1/4/2004 6:00:00 PM,1/5/2004 12:00:00 AM,1/4/2004 7:00:00 PM,PJM-E,32970
1/4/2004 11:00:00 PM,1/4/2004 6:00:00 PM,1/5/2004 12:00:00 AM,1/4/2004 7:00:00 PM,PJM-W,6134
1/5/2004 12:00:00 AM,1/4/2004 7:00:00 PM,1/5/2004 1:00:00 AM,1/4/2004 8:00:00 PM,PJM-E,32572
1/5/2004 12:00:00 AM,1/4/2004 7:00:00 PM,1/5/2004 1:00:00 AM,1/4/2004 8:00:00 PM,PJM-W,6055
1/5/2004 1:00:00 AM,1/4/2004 8:00:00 PM,1/5/2004 2:00:00 AM,1/4/2004 9:00:00 PM,PJM-E,31892
1/5/2004 1:00:00 AM,1/4/2004 8:00:00 PM,1/5/2004 2:00:00 AM,1/4/2004 9:00:00 PM,PJM-W,5928
1/5/2004 2:00:00 AM,1/4/2004 9:00:00 PM,1/5/2004 3:00:00 AM,1/4/2004 10:00:00 PM,PJM-E,30553
